Lag time (s),g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s),g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)    ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)  ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)    ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1)
7.50E-08,0.981076,1.00881021,1.004395445,0.004385813,,7.50E-08,0.94067,1.004806819,1.002400528,0.002397652,,7.50E-08,0.964131,1.004246636,1.002121069,0.002118822,,7.50E-08,0.979477,1.013252768,1.006604574,0.006582859,,7.50E-08,0.946367,0.998309018,0.999154151,-0.000846207,,7.50E-08,0.957144,0.998759304,0.999379459,-0.000620733,,7.50E-08,0.962118,0.994358072,0.997175046,-0.002828952,,7.50E-08,0.970726,1.000744327,1.000372094,0.000372025,,7.50E-08,0.967734,0.992079634,0.996031944,-0.003975949,,7.50E-08,0.965464,0.986718912,0.99333726,-0.006685035,,7.50E-08,0.964327,0.995973048,0.997984493,-0.002017541
8.75E-08,0.979943,1.007645181,1.003815312,0.003808053,,8.75E-08,0.939016,1.003040046,1.00151887,0.001517717,,8.75E-08,0.957279,0.997109538,0.998553723,-0.001447324,,8.75E-08,0.971888,1.005402073,1.002697398,0.002693767,,8.75E-08,0.948744,1.000816482,1.000408157,0.000408074,,8.75E-08,0.958356,1.000024,1.000012,1.19999E-05,,8.75E-08,0.969387,1.001870652,1.000934889,0.000934452,,8.75E-08,0.972603,1.00267937,1.001338789,0.001337894,,8.75E-08,0.967442,0.991780288,0.995881664,-0.00412684,,8.75E-08,0.971001,0.99237781,0.996181615,-0.003825693,,8.75E-08,0.963775,0.995402933,0.997698819,-0.002303833
1.00E-07,0.976053,1.003645214,1.001820949,0.001819293,,1.00E-07,0.933884,0.997558136,0.998778322,-0.001222425,,1.00E-07,0.962396,1.002439446,1.00121898,0.001218238,,1.00E-07,0.974452,1.008054488,1.004019167,0.004011112,,1.00E-07,0.942684,0.994423874,0.99720804,-0.002795865,,1.00E-07,0.957121,0.998735304,0.999367452,-0.000632748,,1.00E-07,0.964192,0.99650157,0.998249253,-0.001752282,,1.00E-07,0.961038,0.990756739,0.99536764,-0.004643122,,1.00E-07,0.972349,0.996810735,0.998404094,-0.001597181,,1.00E-07,0.969988,0.991342509,0.995661845,-0.004347592,,1.00E-07,0.968578,1.000363551,1.000181759,0.000181743
1.13E-07,0.974208,1.001748058,1.000873647,0.000873266,,1.13E-07,0.935425,0.999204204,0.999602023,-0.000398056,,1.13E-07,0.961754,1.001770734,1.000884975,0.000884584,,1.13E-07,0.979107,1.012870009,1.006414432,0.006393947,,1.13E-07,0.942474,0.994202348,0.99709696,-0.002907262,,1.13E-07,0.962249,1.004086262,1.002041048,0.002038968,,1.13E-07,0.963062,0.995333705,0.997664124,-0.002338608,,1.13E-07,0.97016,1.000160824,1.000080409,8.04056E-05,,1.13E-07,0.96543,0.989717672,0.994845552,-0.005167778,,1.13E-07,0.973705,0.99514134,0.997567712,-0.002435251,,1.13E-07,0.966112,0.997816625,0.998907716,-0.001092881
1.25E-07,0.982444,1.010216883,1.005095459,0.005082521,,1.25E-07,0.933896,0.997570954,0.998784739,-0.001216,,1.25E-07,0.957395,0.997230364,0.998614222,-0.001386739,,1.25E-07,0.971922,1.005437245,1.002714937,0.002711258,,1.25E-07,0.947282,0.999274239,0.999637053,-0.000363012,,1.25E-07,0.95911,1.000810783,1.000405309,0.000405227,,1.25E-07,0.966689,0.999082244,0.999541016,-0.000459089,,1.25E-07,0.973546,1.003651531,1.001824102,0.00182244,,1.25E-07,0.962013,0.986214709,0.993083435,-0.006940595,,1.25E-07,0.974726,0.996184817,0.998090586,-0.00191124,,1.25E-07,0.960711,0.992238382,0.996111631,-0.003895948
1.38E-07,0.97948,1.007169093,1.003578145,0.003571758,,1.38E-07,0.936614,1.000474273,1.000237108,0.00023708,,1.38E-07,0.964318,1.004441417,1.002218248,0.002215791,,1.38E-07,0.968376,1.001768967,1.000884093,0.000883702,,1.38E-07,0.94553,0.997426079,0.99871221,-0.00128862,,1.38E-07,0.958085,0.999741217,0.9998706,-0.000129408,,1.38E-07,0.966725,0.99911945,0.999559628,-0.000440469,,1.38E-07,0.968984,0.998948458,0.999474091,-0.000526048,,1.38E-07,0.965229,0.989511615,0.994741984,-0.005271888,,1.38E-07,0.974399,0.995850618,0.997923152,-0.002079007,,1.38E-07,0.969321,1.001130934,1.000565307,0.000565148
1.50E-07,0.970947,0.998394872,0.999197114,-0.000803209,,1.50E-07,0.935058,0.998812182,0.999405914,-0.000594262,,1.50E-07,0.960311,1.000267693,1.000133838,0.000133829,,1.50E-07,0.972662,1.006202763,1.003096587,0.003091802,,1.50E-07,0.94661,0.998565355,0.99928242,-0.000717837,,1.50E-07,0.956939,0.998545391,0.999272431,-0.000727834,,1.50E-07,0.967902,1.000335891,1.000167931,0.000167917,,1.50E-07,0.969796,0.999785568,0.999892778,-0.000107228,,1.50E-07,0.970045,0.994448773,0.997220524,-0.002783346,,1.50E-07,0.96769,0.988993918,0.994481733,-0.005533549,,1.50E-07,0.960773,0.992302417,0.996143773,-0.003863681
1.63E-07,0.973856,1.001386107,1.000692813,0.000692574,,1.63E-07,0.932247,0.995809522,0.997902561,-0.002099641,,1.63E-07,0.959656,0.99958544,0.999792699,-0.000207323,,1.63E-07,0.975908,1.009560696,1.004768977,0.004757641,,1.63E-07,0.94348,0.995263563,0.997628971,-0.002373845,,1.63E-07,0.959579,1.001300174,1.000649876,0.000649665,,1.63E-07,0.965688,0.998047701,0.999023373,-0.000977104,,1.63E-07,0.971297,1.001332984,1.00066627,0.000666048,,1.63E-07,0.963344,0.987579193,0.993770191,-0.006249295,,1.63E-07,0.965863,0.987126696,0.993542498,-0.006478441,,1.63E-07,0.968884,1.000679593,1.000339739,0.000339681
1.75E-07,0.984158,1.011979336,1.005971837,0.005954076,,1.75E-07,0.932853,0.99645684,0.998226848,-0.001774726,,1.75E-07,0.953744,0.993427453,0.996708309,-0.003297121,,1.75E-07,0.96632,0.999642069,0.999821018,-0.000178998,,1.75E-07,0.945106,0.996978807,0.998488261,-0.001512883,,1.75E-07,0.957574,0.999208,0.999603921,-0.000396157,,1.75E-07,0.970218,1.002729499,1.001363819,0.00136289,,1.75E-07,0.971317,1.001353603,1.000676572,0.000676344,,1.75E-07,0.961646,0.985838476,0.99289399,-0.007131378,,1.75E-07,0.972118,0.993519401,0.996754434,-0.003250844,,1.75E-07,0.969405,1.001217691,1.00060866,0.000608475
1.88E-07,0.983515,1.011318159,1.005643157,0.005627294,,1.88E-07,0.935576,0.9993655,0.9996827,-0.000317351,,1.88E-07,0.960644,1.000614549,1.000307227,0.00030718,,1.88E-07,0.970317,1.003776899,1.00188667,0.001884892,,1.88E-07,0.942342,0.994063103,0.997027133,-0.002977295,,1.88E-07,0.956866,0.998469217,0.999234315,-0.000765978,,1.88E-07,0.964899,0.997232262,0.998615172,-0.001385788,,1.88E-07,0.967438,0.99735465,0.998676449,-0.001324428,,1.88E-07,0.971414,0.995852213,0.997923952,-0.002078206,,1.88E-07,0.965417,0.986670877,0.993313081,-0.006709376,,1.88E-07,0.965499,0.997183509,0.998590761,-0.001410232
