Lag time (s),g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s),g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)    ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)  ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)    ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1)
7.50E-08,0.949356,0.998590506,0.999295005,-0.000705244,,7.50E-08,0.964519,0.994639673,0.997316235,-0.002687372,,7.50E-08,0.948859,1.009363262,1.004670723,0.004659849,,7.50E-08,0.962519,1.003372307,1.001684734,0.001683317,,7.50E-08,0.973439,1.000749453,1.000374656,0.000374586,,7.50E-08,0.965679,0.998683492,0.999341529,-0.000658688,,7.50E-08,0.970342,0.988673993,0.99432087,-0.005695317,,7.50E-08,0.974081,1.003239142,1.001618262,0.001616954,,7.50E-08,0.976223,1.004506901,1.002250917,0.002248388,,7.50E-08,0.974739,0.997677603,0.998838127,-0.001162549,,7.50E-08,0.985392,1.006578463,1.00328384
8.75E-08,0.948858,0.99806668,0.999032872,-0.000967596,,8.75E-08,0.965094,0.99523263,0.997613467,-0.002389385,,8.75E-08,0.948256,1.008721812,1.004351438,0.004341998,,8.75E-08,0.958172,0.998840802,0.999420233,-0.000579935,,8.75E-08,0.977366,1.004786627,1.002390456,0.002387604,,8.75E-08,0.969677,1.002818134,1.001408076,0.001407085,,8.75E-08,0.982284,1.000841605,1.000420714,0.000420626,,8.75E-08,0.984974,1.014458214,1.007203164,0.007177345,,8.75E-08,0.982574,1.011041907,1.005505797,0.005490695,,8.75E-08,0.979799,1.002856681,1.001427322,0.001426304,,8.75E-08,0.981421,1.002522085,1.001260248
1.00E-07,0.953163,1.002594941,1.00129663,0.00129579,,1.00E-07,0.968905,0.999162642,0.999581233,-0.000418854,,1.00E-07,0.947642,1.00806866,1.004026225,0.004018141,,1.00E-07,0.959032,0.999737304,0.999868643,-0.000131365,,1.00E-07,0.964152,0.9912019,0.995591231,-0.004418516,,1.00E-07,0.958565,0.991326353,0.995653732,-0.004355741,,1.00E-07,0.978023,0.996500105,0.998248519,-0.001753017,,1.00E-07,0.980743,1.010100563,1.005037593,0.005024946,,1.00E-07,0.979538,1.007917946,1.003951167,0.003943382,,1.00E-07,0.984473,1.007640674,1.003813067,0.003805816,,1.00E-07,0.971246,0.992128317,0.996056382
1.13E-07,0.952484,1.001880727,1.000939922,0.000939481,,1.13E-07,0.967823,0.998046853,0.999022949,-0.000977529,,1.13E-07,0.95363,1.014438486,1.007193371,0.007167622,,1.13E-07,0.955147,0.995687409,0.997841374,-0.002160959,,1.13E-07,0.977561,1.004987098,1.002490448,0.002487352,,1.13E-07,0.975105,1.008431649,1.004206975,0.004198151,,1.13E-07,0.971155,0.989502353,0.994737328,-0.005276568,,1.13E-07,0.983758,1.013205814,1.00658125,0.006559689,,1.13E-07,0.978631,1.006984667,1.003486257,0.003480194,,1.13E-07,0.979799,1.002856681,1.001427322,0.001426304,,1.13E-07,0.977821,0.998844683,0.999422175
1.25E-07,0.947949,0.997110538,0.998554224,-0.001446822,,1.25E-07,0.970867,1.001185913,1.000592781,0.000592605,,1.25E-07,0.953348,1.014138504,1.00704444,0.007019744,,1.25E-07,0.954995,0.995528957,0.997761974,-0.002240534,,1.25E-07,0.964095,0.991143301,0.995561802,-0.004448077,,1.25E-07,0.964752,0.99772481,0.998861757,-0.001138891,,1.25E-07,0.974133,0.992536614,0.996261318,-0.003745688,,1.25E-07,0.981845,1.01123555,1.005602083,0.00558645,,1.25E-07,0.979084,1.007450792,1.003718482,0.003711586,,1.25E-07,0.977479,1.000482084,1.000241013,0.000240984,,1.25E-07,0.987044,1.008265982,1.004124486
1.38E-07,0.950122,0.999396232,0.99969807,-0.000301975,,1.38E-07,0.96409,0.994197276,0.997094417,-0.002909813,,1.38E-07,0.945799,1.00610814,1.003049421,0.003044781,,1.38E-07,0.958849,0.999546537,0.999773243,-0.000226783,,1.38E-07,0.966792,0.993915967,0.996953342,-0.003051308,,1.38E-07,0.975641,1.008985968,1.004482936,0.004472917,,1.38E-07,0.975259,0.993683887,0.996836941,-0.003168072,,1.38E-07,0.973076,1.002204059,1.001101423,0.001100817,,1.38E-07,0.968249,0.996301872,0.998149223,-0.001852492,,1.38E-07,0.980152,1.003217988,1.001607702,0.001606411,,1.38E-07,0.982105,1.003220791,1.001609101
1.50E-07,0.948841,0.998048798,0.999023923,-0.000976554,,1.50E-07,0.972525,1.00289569,1.001446798,0.001445753,,1.50E-07,0.950268,1.010862107,1.005416385,0.005401769,,1.50E-07,0.958723,0.999415189,0.999707552,-0.000292491,,1.50E-07,0.977884,1.00531916,1.002656053,0.002652532,,1.50E-07,0.977886,1.011307697,1.005637955,0.005622121,,1.50E-07,0.969829,0.988151301,0.994057997,-0.005959727,,1.50E-07,0.979787,1.009115946,1.004547632,0.004537323,,1.50E-07,0.961636,0.989497275,0.994734776,-0.005279134,,1.50E-07,0.967174,0.989934576,0.99495456,-0.005058212,,1.50E-07,0.978327,0.999361562,0.99968073
1.63E-07,0.954335,1.003827722,1.001912033,0.001910207,,1.63E-07,0.971894,1.002244985,1.001121863,0.001121234,,1.63E-07,0.949209,1.00973558,1.004856,0.004844247,,1.63E-07,0.957297,0.997928663,0.998963795,-0.001036742,,1.63E-07,0.963067,0.990086459,0.995030884,-0.004981503,,1.63E-07,0.971152,1.004343545,1.00216942,0.00216707,,1.63E-07,0.973036,0.991418889,0.9957002,-0.00430907,,1.63E-07,0.980711,1.010067605,1.005021196,0.005008632,,1.63E-07,0.974827,1.003070455,1.001534051,0.001532875,,1.63E-07,0.967611,0.99038186,0.99517931,-0.004832347,,1.63E-07,0.974668,0.995623892,0.997809547
1.75E-07,0.951069,1.000392344,1.000196153,0.000196134,,1.75E-07,0.958396,0.98832546,0.994145593,-0.005871611,,1.75E-07,0.947111,1.0075038,1.003744888,0.003737893,,1.75E-07,0.962042,1.002875061,1.001436499,0.001435468,,1.75E-07,0.970516,0.997744446,0.998871586,-0.001129051,,1.75E-07,0.972436,1.005671429,1.002831705,0.002827704,,1.75E-07,0.974518,0.992928887,0.996458171,-0.003548116,,1.75E-07,0.979933,1.009266316,1.004622474,0.004611824,,1.75E-07,0.978264,1.006607034,1.003298078,0.003292652,,1.75E-07,0.97795,1.000964168,1.000481968,0.000481852,,1.75E-07,0.981064,1.002157409,1.001078123
1.88E-07,0.952535,1.001934372,1.000966719,0.000966252,,1.88E-07,0.970597,1.000907481,1.000453638,0.000453535,,1.88E-07,0.946798,1.007170842,1.003579016,0.003572627,,1.88E-07,0.962922,1.003792412,1.001894412,0.001892619,,1.88E-07,0.964978,0.992051074,0.996017607,-0.003990344,,1.88E-07,0.972849,1.006098545,1.003044637,0.003040012,,1.88E-07,0.974774,0.993189724,0.996589045,-0.003416786,,1.88E-07,0.972671,1.001786935,1.000893069,0.00089267,,1.88E-07,0.965335,0.993303445,0.996646098,-0.003359539,,1.88E-07,0.986877,1.010101248,1.005037934,0.005025286,,1.88E-07,0.983771,1.004922611,1.002458284
2.00E-07,0.951316,1.000652154,1.000326024,0.000325971,,2.00E-07,0.967981,0.998209787,0.999104493,-0.000895909,,2.00E-07,0.943413,1.003569996,1.001783408,0.001781819,,2.00E-07,0.961418,1.002224576,1.00111167,0.001111053,,2.00E-07,0.963844,0.990885259,0.995432197,-0.004578267,,2.00E-07,0.96961,1.002748844,1.001373479,0.001372536,,2.00E-07,0.977909,0.996383951,0.998190338,-0.001811301,,2.00E-07,0.976285,1.005509117,1.002750775,0.002746999,,2.00E-07,0.976118,1.004398859,1.002197016,0.002194606,,2.00E-07,0.985229,1.008414465,1.004198419,0.004189631,,2.00E-07,0.984768,1.005941047,1.002966125
2.13E-07,0.951808,1.001169669,1.000584664,0.000584493,,2.13E-07,0.968669,0.998919272,0.99945949,-0.000540656,,2.13E-07,0.947207,1.007605922,1.003795757,0.003788571,,2.13E-07,0.957559,0.998201784,0.999100487,-0.000899917,,2.13E-07,0.964747,0.991813593,0.995898385,-0.00411005,,2.13E-07,0.968857,1.001970108,1.000984569,0.000984085,,2.13E-07,0.969388,0.98770197,0.993831963,-0.006187138,,2.13E-07,0.971414,1.000492308,1.000246124,0.000246094,,2.13E-07,0.976807,1.005107821,1.002550658,0.00254741,,2.13E-07,0.979354,1.002401209,1.001199884,0.001199165,,2.13E-07,0.974437,0.995387925,0.997691297
2.38E-07,0.951335,1.000672139,1.000336013,0.000335957,,2.38E-07,0.971392,1.001727308,1.000863281,0.000862909,,2.38E-07,0.945421,1.005706037,1.00284896,0.00284491,,2.38E-07,0.956775,0.997384508,0.998691398,-0.001309459,,2.38E-07,0.968225,0.99538917,0.997691922,-0.002310746,,2.38E-07,0.972235,1.00546356,1.002728059,0.002724344,,2.38E-07,0.97486,0.993277349,0.996633006,-0.003372675,,2.38E-07,0.975621,1.004825241,1.002409717,0.002406818,,2.38E-07,0.97221,1.000377633,1.000188799,0.000188781,,2.38E-07,0.979101,1.002142255,1.001070554,0.001069982,,2.38E-07,0.974035,0.994977282,0.99748548
2.63E-07,0.948227,0.997402955,0.998700633,-0.001300211,,2.63E-07,0.967586,0.997802452,0.998900622,-0.001099983,,2.63E-07,0.946353,1.006697466,1.003343145,0.003337569,,2.63E-07,0.958102,0.998767831,0.999383726,-0.000616464,,2.63E-07,0.97418,1.001511242,1.000755336,0.000755051,,2.63E-07,0.974809,1.008125533,1.004054547,0.004046349,,2.63E-07,0.975651,0.994083292,0.997037257,-0.00296714,,2.63E-07,0.975637,1.00484172,1.002417937,0.002415018,,2.63E-07,0.971547,0.999695424,0.9998477,-0.000152311,,2.63E-07,0.979051,1.002091078,1.001044993,0.001044447,,2.63E-07,0.97855,0.999589357,0.999794657
2.88E-07,0.94633,0.995407575,0.997701145,-0.002301501,,2.88E-07,0.969808,1.000093842,1.00004692,4.69187E-05,,2.88E-07,0.945532,1.005824115,1.00290783,0.00290361,,2.88E-07,0.95964,1.00037111,1.000185538,0.000185521,,2.88E-07,0.967597,0.994743552,0.997368313,-0.002635156,,2.88E-07,0.969337,1.002466513,1.001232497,0.001231738,,2.88E-07,0.977952,0.996427764,0.998212284,-0.001789316,,2.88E-07,0.975872,1.005083754,1.002538655,0.002535438,,2.88E-07,0.981318,1.009749517,1.004862935,0.004851149,,2.88E-07,0.97368,0.996593682,0.998295388,-0.001706066,,2.88E-07,0.974125,0.995069217,0.997531562
3.13E-07,0.947538,0.996678223,0.99833773,-0.001663653,,3.13E-07,0.963504,0.993592976,0.99679134,-0.003213818,,3.13E-07,0.946272,1.006611301,1.003300205,0.003294771,,3.13E-07,0.958621,0.99930886,0.99965437,-0.00034569,,3.13E-07,0.963488,0.990519271,0.995248346,-0.004762979,,3.13E-07,0.972564,1.005803804,1.002897704,0.002893513,,3.13E-07,0.977909,0.996383951,0.998190338,-0.001811301,,3.13E-07,0.97537,1.004566727,1.002280763,0.002278166,,3.13E-07,0.968127,0.996176337,0.998086338,-0.001915496,,3.13E-07,0.972352,0.99523443,0.997614369,-0.002388481,,3.13E-07,0.976081,0.997067272,0.998532559
3.38E-07,0.947884,0.997042167,0.998519988,-0.001481108,,3.38E-07,0.969216,0.999483354,0.999741644,-0.00025839,,3.38E-07,0.949199,1.009724942,1.004850706,0.00483898,,3.38E-07,0.957787,0.998439461,0.999219426,-0.000780879,,3.38E-07,0.96467,0.991734433,0.995858641,-0.004149958,,3.38E-07,0.974396,1.007698417,1.003841829,0.003834468,,3.38E-07,0.974197,0.992601823,0.996294044,-0.00371284,,3.38E-07,0.9746,1.003773678,1.001885062,0.001883288,,3.38E-07,0.974365,1.002595069,1.001296694,0.001295854,,3.38E-07,0.97373,0.996644859,0.99832102,-0.001680391,,3.38E-07,0.973626,0.994559488,0.997276034
3.63E-07,0.951421,1.000762599,1.000381227,0.000381154,,3.63E-07,0.970106,1.000401148,1.000200554,0.000200534,,3.63E-07,0.948332,1.008802658,1.004391685,0.00438207,,3.63E-07,0.959106,0.999814445,0.999907218,-9.27861E-05,,3.63E-07,0.962771,0.989782155,0.99487796,-0.005135203,,3.63E-07,0.975267,1.008599186,1.004290389,0.004281212,,3.63E-07,0.971717,0.99007497,0.99502511,-0.004987306,,3.63E-07,0.975426,1.004624404,1.002309535,0.002306872,,3.63E-07,0.96879,0.996858546,0.998428038,-0.001573199,,3.63E-07,0.976706,0.999690893,0.999845435,-0.000154577,,3.63E-07,0.976631,0.997629097,0.998813845
3.88E-07,0.948774,0.997978323,0.99898865,-0.001011862,,3.88E-07,0.971476,1.001813931,1.000906555,0.000906144,,3.88E-07,0.945169,1.005437968,1.002715298,0.002711618,,3.88E-07,0.961981,1.002811472,1.001404749,0.001403764,,3.88E-07,0.965342,0.992425286,0.996205444,-0.003801774,,3.88E-07,0.972877,1.006127502,1.003059072,0.003054402,,3.88E-07,0.973563,0.991955845,0.995969801,-0.004038342,,3.88E-07,0.969704,0.998731121,0.999365359,-0.000634842,,3.88E-07,0.970194,0.998303224,0.999151252,-0.000849109,,3.88E-07,0.969612,0.992429949,0.996207784,-0.003799424,,3.88E-07,0.978431,0.999467798,0.999733864
4.13E-07,0.949064,0.998283363,0.999141313,-0.000859056,,4.13E-07,0.965351,0.995497656,0.997746288,-0.002256255,,4.13E-07,0.948651,1.009141999,1.0045606,0.004550232,,4.13E-07,0.957685,0.998333132,0.999166218,-0.000834129,,4.13E-07,0.969391,0.996587883,0.998292484,-0.001708976,,4.13E-07,0.967117,1.000170639,1.000085316,8.53124E-05,,4.13E-07,0.975551,0.993981403,0.99698616,-0.003018391,,4.13E-07,0.975378,1.004574967,1.002284873,0.002282267,,4.13E-07,0.970539,0.998658219,0.999328885,-0.000671341,,4.13E-07,0.975756,0.998718537,0.999359063,-0.000641143,,4.13E-07,0.979115,1.000166505,1.000083249
4.63E-07,0.950323,0.999607656,0.999803809,-0.000196211,,4.63E-07,0.969413,0.999686506,0.999843241,-0.000156771,,4.63E-07,0.947174,1.007570818,1.003778271,0.003771151,,4.63E-07,0.955339,0.995887558,0.997941661,-0.002060461,,4.63E-07,0.964982,0.992055186,0.996019672,-0.003988271,,4.63E-07,0.966651,0.999688713,0.999844344,-0.000155668,,4.63E-07,0.974881,0.993298745,0.99664374,-0.003361904,,4.63E-07,0.972586,1.001699391,1.000849335,0.000848974,,4.63E-07,0.975769,1.004039747,1.002017838,0.002015805,,4.63E-07,0.978538,1.001566006,1.000782696,0.00078239,,4.63E-07,0.976772,0.997773129,0.998885944
